P,I,D,dP,dI,dD,SUM(d)
0.237237,0.0000396,2.6026,0.0237237,0.00000396,0.26026,0.28399
0.260961,0.0000396,2.6026,0.0237237,0.00000396,0.26026,0.28399
0.213513,0.0000396,2.6026,0.0237237,0.00000396,0.26026,0.28399
0.213513,0.00004356,2.6026,0.0260961,0.00000396,0.26026,0.28636
0.213513,0.00003564,2.6026,0.0260961,0.00000396,0.26026,0.28636
0.213513,0.0000396,2.86286,0.0260961,0.000003564,0.26026,0.28636
0.213513,0.0000396,2.34234,0.0260961,0.000003564,0.26026,0.28636
0.239609,0.0000396,2.6026,0.0260961,0.000003564,0.234234,0.26033
0.187417,0.0000396,2.6026,0.0260961,0.000003564,0.234234,0.26033
0.213513,0.000043164,2.6026,0.0234865,0.000003564,0.234234,0.25772
0.213513,0.000036036,2.6026,0.0234865,0.000003564,0.234234,0.25772
0.213513,0.0000396,2.83683,0.0234865,0.0000032076,0.234234,0.25772
0.213513,0.0000396,2.83683,0.0234865,0.0000032076,0.257657,0.28115
0.16654,0.0000396,2.83683,0.0234865,0.0000032076,0.257657,0.28115
0.190027,0.0000428076,2.83683,0.0211378,0.0000032076,0.257657,0.27880
0.190027,0.0000363924,2.83683,0.0211378,0.0000032076,0.257657,0.27880
0.190027,0.0000396,3.09449,0.0211378,0.00000288684,0.257657,0.27880
0.190027,0.0000396,2.57918,0.0211378,0.00000288684,0.257657,0.27880
0.211165,0.0000396,2.83683,0.0211378,0.00000288684,0.231892,0.25303
0.168889,0.0000396,2.83683,0.0211378,0.00000288684,0.231892,0.25303
0.190027,0.0000424868,2.83683,0.019024,0.00000288684,0.231892,0.25092
0.190027,0.0000424868,2.83683,0.019024,0.00000317552,0.231892,0.25092
0.190027,0.0000424868,2.37305,0.019024,0.00000317552,0.231892,0.25092
0.209051,0.0000424868,2.60494,0.019024,0.00000317552,0.208702,0.22773
0.171003,0.0000424868,2.60494,0.019024,0.00000317552,0.208702,0.22773
0.190027,0.0000456624,2.60494,0.0171216,0.00000317552,0.208702,0.22583
0.190027,0.0000393113,2.60494,0.0171216,0.00000317552,0.208702,0.22583
0.190027,0.0000424868,2.81364,0.0171216,0.00000285797,0.208702,0.22583
0.190027,0.0000424868,2.39624,0.0171216,0.00000285797,0.208702,0.22583
0.207148,0.0000424868,2.60494,0.0171216,0.00000285797,0.187832,0.20496
0.172905,0.0000424868,2.60494,0.0171216,0.00000285797,0.187832,0.20496
